,corp_code,corp_name,stock_code
1739,00939687,동일고무벨트,163560
74,00118284,동일금속,109860
509,00199076,동일기연,32960
320,00172936,동일산업,4890
1818,00118451,동일제강,2690
1766,00172945,동일철강,23790
267,00118804,동진쎄미켐,5290
1199,00173032,동화기업,25900
2534,00119195,동화약품,20
904,00117212,두산,150
2252,01105153,두산로보틱스,454910
465,01032486,두산밥캣,241560
936,00159616,두산에너빌리티,34020
2437,00563545,두산테스나,131970
1981,01412725,두산퓨얼셀,336260
2043,00119672,두올,16740
1825,00407771,듀오백,73190
2587,00867034,듀켐바이오,176750
2106,00230036,드래곤플라이,30350
697,01038693,드림시큐리티,203650
860,00916826,드림씨아이에스,223250
2472,00364467,드림어스컴퍼니,60570
1364,01492688,드림인사이트,362990
2450,00415646,드림텍,192650
2415,01068658,디딤이앤에프,217620
240,00125725,디모아,16670
650,00624509,디바이스이엔지,187870
2053,01814589,디비금융스팩12호,477760
845,00177199,디씨엠,24090
804,00118275,디아이,3160
305,00118345,디아이동일,1530
566,00112165,디아이씨,92200
2491,00576798,디아이티,110990
57,00966168,디알젬,263690
902,01062867,디알텍,214680
2240,01376715,디앤디파마텍,347850
1826,01475609,디앤디플랫폼리츠,377190
2181,01186404,디앤씨미디어,263720
1134,01456011,디어유,376300
95,00530121,디에스케이,109740
1939,00660121,디에이테크놀로지,196490
1375,00303192,디에이피,66900
2112,00642541,디엔에이링크,127120
1938,00569691,디엔에프,92070
1993,00115931,디오,39840
1318,00117179,디와이,13570
734,01089378,디와이디,219550
660,01336443,디와이씨,310870
681,01059605,디와이파워,210540
1784,00602136,디와이피엔에프,104460
450,00445160,디이엔티,79810
739,00576789,디젠스,113810
831,00295547,디지아이,43360
2253,00681373,디지캡,197140
686,00398808,디지털대성,68930
927,00231442,디지틀조선,33130
286,00533003,디케이락,105740
1139,00892526,디케이앤디,263020
1658,01137903,디케이티,290550
2342,00371740,디티씨,66670
1290,00675594,디티앤씨,187220
468,01437432,디티앤씨알오,383930
474,00629212,딜리,131180
1831,01344831,딥노이드,315640
2128,01075126,딥마인드,223310
602,01327092,라닉스,317120
2034,01504211,라메디텍,462510
1211,00255433,라온시큐어,42510
1233,00911229,라온테크,232680
1274,00965512,라온텍,418420
1915,01251489,라온피플,300120
2703,00317104,라이온켐텍,171120
1662,01569102,라이콤,388790
1906,01336762,라이프시맨틱스,347700
63,01058101,라파스,214260
2365,01466832,라피치,403360
2015,00561866,락앤락,115390
1343,00990819,래몽래인,200350
506,00654272,램테크놀러지,171010
1837,00545114,랩지노믹스,84650
21,01068348,러셀,217500
86,00578325,럭스피아,92590
923,00261355,레드캡투어,38390
1490,01011395,레몬,294140
1414,01468061,레뷰코퍼레이션,443250
197,00828761,레이,228670
241,00899459,레이언스,228850
1045,01573381,레이저쎌,412350
1176,01161432,레이저옵텍,199550
60,01255652,레이크머티리얼즈,281740
699,01261644,레인보우로보틱스,277810
353,01063990,로보로보,215100
2197,00536523,로보스타,90360
2056,01118643,로보쓰리에이아이,238500
101,00946030,로보티즈,108490
2,01139266,로스웰,900260
1386,01060735,로지스몬,223220
1982,00238199,로지시스,67730
225,00363486,로체시스템즈,71280
614,00231372,롯데관광개발,32350
1679,00545716,롯데렌탈,89860
1273,01363818,롯데리츠,330590
455,00113562,롯데손해보험,400
919,00120526,롯데쇼핑,23530
1197,00113997,롯데에너지머티리얼즈,20150
2507,01258507,롯데웰푸드,280360
2317,01262032,롯데이노베이트,286940
1984,00157681,롯데정밀화학,4000
921,00120562,롯데지주,4990
1328,00120571,롯데칠성음료,5300
2081,00165413,롯데케미칼,11170
2419,00158307,롯데하이마트,71840
979,01397620,루닛,328130
728,00406329,루멘스,38060
1618,00886792,루켄테크놀러지스,162120
43,01262023,루트락,253610
2059,00842619,리가켐바이오,141080
878,00369657,리노공업,58470
2377,00180263,리더스코스메틱,16100
1819,00117708,리드코프,12700
1181,01275665,리메드,302550
1870,00440712,리튬포어스,73570
1740,01210066,리파인,377450
230,00616962,린드먼아시아,277070
826,00352499,링네트,42500
2344,01035678,링크드,193250
636,01109955,링크제니시스,219420
1307,01136977,마녀공장,439090
1246,00204208,마니커,27740
1103,00770312,마니커에프앤지,195500
1882,01442966,마스턴프리미어리츠,357430
1141,01297898,마음AI,377480
141,01267967,마이크로디지탈,305090
418,01206717,마이크로엔엑스,448780
1745,00568188,마이크로컨텍솔,98120
1866,00624378,마이크로투나노,424980
1033,00261373,마크로젠,38290
187,00120872,만호제강,1080
2518,01234507,매일유업,267980
2447,00120924,매일홀딩스,5990
1303,00596677,매커스,93520
260,01409095,맥스트,377030
4,00435297,맥쿼리인프라,88980
1,00600013,맵스리얼티1,94800
1878,00978075,머니무브,179720
1339,00364740,머큐리,100590
