corporation,product,description,investment_round,total_investment,revenue,employee_num,keyword
카나프테라퓨틱스,TMEkine ™,항암제 및 자가면역질환 치료제를 개발하는 기업,series C,540.0억원,3.5억원,32,"헬스케어/바이오바이오/의료, 암, 신약, 제조기술, B2B"
티에네스,세라핀,디지털 투명교정 시스템 ‘세라핀’를 운영하는 기업,비공개,110.0억원,28.2억원,40,"헬스케어/바이오디지털헬스케어, 바이오/의료, B2B, 치과"
제주바솔트,제주바솔트,디저트 제품을 개발 및 생산하는 기업,seed,비공개,"7,369.4만원",,"커머스, 푸드/농업이커머스, 음료, 디저트, B2B, B2C, WEB, 오프라인매장"
일릭사파마텍,,염증성 장질환 치료제를 개발하는 기업,비공개,비공개,-,4,"헬스케어/바이오바이오/의료, 신약, 당뇨/고혈압/만성질환, 제조기술"
비유,,유기성 농식품 부산물 기반 기능성 천연소재를 개발 및 제조하는 기업,seed,비공개,"1,309.1만원",5,"푸드/농업, 환경/에너지농업, 소재, 제조기술, 리사이클링/업사이클링, B2B"
오피스,오피스,워케이션 공유 숙박과 공유 오피스를 제공하는 기업,seed,비공개,5.2억원,,"여행/레저, 부동산/건설숙박, 여행정보, 코워킹, B2B, B2C, 플랫폼/마켓플레이스"
빅토리지,,중·소용량 ESS의 최적 제어 및 운영 기술을 개발하는 기업,비공개,비공개,6.3억원,11,"환경/에너지제조기술, 설계, 리사이클링/업사이클링, 폐기물"
리셋컴퍼니,리셋컴퍼니,무인 로봇 및 세척 로봇 시스템을 개발하는 기업,series A,56.0억원 이상,13.9억원,20,"제조/하드웨어, 홈리빙/펫로봇, 청소, B2B, 상품판매/브랜드/하드웨어"
에스엠엘바이오팜,,mRNA 치료제를 개발하는 기업,비공개,40.0억원 이상,9.2억원,12,"헬스케어/바이오바이오/의료, 신약, B2B, 플랫폼/마켓플레이스"
서울프라퍼티인사이트,서울프라퍼티인사이트,상업용 부동산 전문 데이터 플랫폼 '서울프라퍼티인사이트'를 운영하는 기업,pre-A,14.0억원,-,21,"부동산/건설, 통신/보안/데이터재테크, 프롭테크, 상권분석, 데이터, B2C, SaaS/엔터프라이즈"
퍼스트몽키즈,비긴랩,바이오 취업 대상 부트캠프 '비긴랩'을 운영하는 기업,seed,비공개,"3,930.9만원",,"헬스케어/바이오, 교육바이오/의료, 성인실무교육, 비대면교육"
